Country,series,Year,Value,Source,Exports (current US$),Imports (current US$),Current Account Balance (US$),NE.EXP.GNFS.CD,NE.IMP.GNFS.CD,NY.GDP.MKTP.CD,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.MKTP.KD.ZG,SH.XPD.CHEX.GD.ZS
ABW,,2000,,IMF,1393586592.17877,1324284916.20112,207145251.396648,1393586592.17877,1324284916.20112,1873452513.96648,,,,
ABW,,2001,,IMF,1346423463.68715,1316033519.55307,308759776.536313,1346423463.68715,1316033519.55307,1896456983.24022,,,,
ABW,,2002,,IMF,1266650837.98883,1347128491.62011,-340251396.648045,1266650837.98883,1347128491.62011,1961843575.41899,,,,
ABW,,2003,,IMF,1282296089.38547,1432167597.76536,-165553072.625698,1282296089.38547,1432167597.76536,2044111731.84358,,,,
ABW,,2004,,IMF,1458098882.68156,1527994413.40782,270888268.156425,1458098882.68156,1527994413.40782,2254830726.25698,,,,
ABW,,2005,,IMF,1606588826.81564,1816622905.02793,104963491.341427,1606588826.81564,1816622905.02793,2360017318.43575,,,,
ABW,,2006,,IMF,1595335195.53073,1888111173.18436,310555693.72256,1595335195.53073,1888111173.18436,2469782681.56425,,,,
ABW,,2007,,IMF,1742107262.56983,2005849162.01117,258268156.424581,1742107262.56983,2005849162.01117,2677641340.78212,,,,
ABW,,2008,,IMF,1863013966.48045,2091921787.7095,111731.84357547,1863013966.48045,2091921787.7095,2843024581.00559,,,,
ABW,,2009,,IMF,1606810055.86592,1906100558.65922,171675977.653631,1606810055.86592,1906100558.65922,2553793296.08939,,,,
ABW,,2010,,IMF,1477511731.84358,1846245251.39665,-460111731.843575,1477511731.84358,1846245251.39665,2453597206.70391,,,,
ABW,,2011,,IMF,1839933519.55307,2233917877.09497,-260558659.217877,1839933519.55307,2233917877.09497,2637859217.87709,,,,
ABW,,2012,,IMF,1911810055.86592,2184788268.15642,90837988.8268156,1911810055.86592,2184788268.15642,2615208379.88827,,,,
ABW,,2013,,IMF,2088122905.02793,2328027932.96089,-322246518.293631,2088122905.02793,2328027932.96089,2727849720.67039,,,,
ABW,,2014,,IMF,2184551396.64804,2361241899.44134,-130013879.725995,2184551396.64804,2361241899.44134,2790849720.67039,,,,
ABW,,2015,,IMF,2158564245.81006,2162351955.30726,118342714.096141,2158564245.81006,2162351955.30726,2962907262.56983,72.8529128494511,72.9807504481858,-0.623625902371245,
ABW,,2016,,IMF,2142859776.53631,2101055865.92179,141178986.061164,2142859776.53631,2101055865.92179,2983635195.53073,71.8204350098217,70.4193283773103,1.71962497989442,
ABW,,2017,,IMF,2243516759.77654,2203529050.27933,34628879.7929171,2243516759.77654,2203529050.27933,3092429050.27933,72.5486898260087,71.2556056890066,7.04853338603499,
ABW,,2018,,IMF,2367134078.21229,2390329608.93855,-19374275.5327724,2367134078.21229,2390329608.93855,3276184357.5419,72.2527739552586,72.9607783956333,2.39708619981323,
ABW,,2019,,IMF,2486899441.34078,2448675977.65363,84796821.7557427,2486899441.34078,2448675977.65363,3395798882.68156,73.2345915426225,72.1089811926666,-2.23244202651868,
ABW,,2020,,IMF,1315200726.25698,1765708882.68156,-316455499.952177,1315200726.25698,1765708882.68156,2481857122.8401,52.9926043749021,71.1446628587944,-26.2118202145169,
ABW,,2021,,IMF,2072291787.7095,2234451005.58659,79257066.7080489,2072291787.7095,2234451005.58659,2929446578.25104,70.7400436346823,76.275533480478,24.1326273569798,
ABW,,2022,,IMF,2871730335.19553,2797735586.59218,230555794.451357,2871730335.19553,2797735586.59218,3279343543.60416,87.5702803628607,85.3138913136662,8.51791810517545,
ABW,,2023,,IMF,3223287653.63128,2971926871.50838,194498402.118932,3223287653.63128,2971926871.50838,3648573136.15155,88.3437862789056,81.4544963361518,4.26371941452948,
AFE,,2000,,IMF,73509908268.7202,74257861660.7127,,73509908268.7202,74257861660.7127,287201651521.163,,,,
AFE,,2001,,IMF,71134441187.8078,69340869043.8372,,71134441187.8078,69340869043.8372,260992228316.31,,,,
AFE,,2002,,IMF,74439242800.9553,74052206131.4835,,74439242800.9553,74052206131.4835,267815037639.861,,,,
AFE,,2003,,IMF,90760984709.2914,92973454944.5827,,90760984709.2914,92973454944.5827,355716369817.829,,,,
AFE,,2004,,IMF,113729111448.314,118869117792.992,,113729111448.314,118869117792.992,442696186423.428,,,,
AFE,,2005,,IMF,142717428603.95,144750477431.072,,142717428603.95,144750477431.072,516661066865.396,,,,
